Description;Points;Title;Price;Designation;Variety;Country;Winery;Taster;Alcohol;Bottle size;Category;Importer;Date published;Region;City
Made with organically grown grapes, this offers aromas of white stone fruit, spring flower and a whisper of hazelnut. The aromas follow over to the crisp palate along with white peach and a citrusy note. KERIN O’KEEFE;89;Monteci 2018 Lugana;$20;;Turbiana, Italian White;Lugana, Lombardy, Italy;Monteci;KERIN O’KEEFE;13%;750 ml;White;Wine 4 All;8/1/2019;Lombardy;Lugana
Aromas of tropical fruit, bread dough and a whiff of dried wild herb float above the glass. On the restrained full-bodied palate, you'll find juicy grapefruit, dried yellow peach and a saline-like mineral note. KERIN O’KEEFE;89;Nals Margreid 2017 Sauvignon (Alto Adige);$23;;Sauvignon, Sauvignon Blanc;Alto Adige, Northeastern Italy, Italy;Nals Margreid;KERIN O’KEEFE;14%;750 ml;White;Massanois Imports;8/1/2019;Northeastern Italy;Alto Adige
This opens with intense aromas of honeysuckle, green melon and tropical fruit. Mirroring the nose, the palate offers honeydew melon and lemon zest alongside tangy acidity. It closes on a white-almond note. KERIN O’KEEFE;89;Olivini 2018 Lugana;$18;;Turbiana, Italian White;Lugana, Lombardy, Italy;Olivini;KERIN O’KEEFE;13%;750 ml;White;Tradizione Imports;8/1/2019;Lombardy;Lugana
Citrus, floral and nutty aromas form the nose. On the fresh palate, zesty acidity accompanies yellow, peach, pineapple and a bitter almond note. KERIN O’KEEFE;89;Perla del Garda 2018 Perla (Lugana);$20;Perla;Turbiana, Italian White;Lugana, Lombardy, Italy;Perla del Garda;KERIN O’KEEFE;12.5%;750 ml;White;RWK Imports;8/1/2019;Lombardy;Lugana
Aromas of French oak, coconut, dried pineapple and cedar are front and center. On the firm, linear palate, you'll find vanilla, candied orange and ripe yellow apple before a bitter almond close. KERIN O’KEEFE;89;Zenato 2016 Sergio Zenato Riserva (Lugana);$45;Sergio Zenato Riserva;Turbiana, Italian White;Lugana, Lombardy, Italy;Zenato;KERIN O’KEEFE;13.5%;750 ml;White;LLS–Winebow;8/1/2019;Lombardy;Lugana
Made in both steel and cask, this opens with aromas of ripe white stone fruit, oak and hazelnut. Its round and full-bodied palate offers mature yellow apple and almond before a lemon-drop finish. KERIN O’KEEFE;89;Colterenzio 2017 Puiten Pinot Grigio (Alto Adige);$21;Puiten;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Colterenzio;KERIN O’KEEFE;14%;750 ml;White;Ideal Wine and Spirits;8/1/2019;Northeastern Italy;Alto Adige
Exotic fruit, citrus zest and crushed tomato vine aromas combine with whiffs oak. It's structured and linear, offering ripe pineapple, grapefruit, coconut and a hint of butterscotch alongside bright acidity. KERIN O’KEEFE;89;Erste Neue 2017 Puntay Sauvignon (Alto Adige);$30;Puntay;Sauvignon, Sauvignon Blanc;Alto Adige, Northeastern Italy, Italy;Erste Neue;KERIN O’KEEFE;14%;750 ml;White;T. Edward Wines Ltd;8/1/2019;Northeastern Italy;Alto Adige
Aromas of acacia, oak, citrus and orchard fruit mingle together in the glass. The aromas carry over to the medium-bodied palate along with mature yellow apple, cedar and spice before a lemon-drop close. KERIN O’KEEFE;89;J. Hofstatter 2016 Barthenau Vigna S. Michele Pinot Bianco (Alto Adige);$36;Barthenau Vigna S. Michele;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;J. Hofstatter;KERIN O’KEEFE;13.5%;750 ml;White;Frederick Wildman & Sons, Ltd;8/1/2019;Northeastern Italy;Alto Adige
Aromas of honeysuckle, crushed herb and white stone fruit lead the way on this vibrant white. It's crisp, light-bodied and savory, offering juicy grapefruit and white peach alongside a note of bitter almond. KERIN O’KEEFE;89;Pratello 2018 Catulliano (Lugana);$18;Catulliano;Turbiana, Italian White;Lugana, Lombardy, Italy;Pratello;KERIN O’KEEFE;12.5%;750 ml;White;Beva Imports, LLC;8/1/2019;Lombardy;Lugana
Delicately enticing scents of beeswax, honey and wildflower aromas mingle with whiffs of ripe apple. The aromas carry on to the medium-bodied palate along with a mineral note. KERIN O’KEEFE;89;Castelfeder 2018 Vom Stein Pinot Bianco (Alto Adige);$16;Vom Stein;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Castelfeder;KERIN O’KEEFE;13%;750 ml;White;Bacchanal Wine Imports;8/1/2019;Northeastern Italy;Alto Adige
Enticing scents of orchard fruit, baked bread and a whiff of Spanish broom come together in the glass. On the fresh, savory palate, you'll find creamy Bartlett pear, Rennet apple and a citrusy note while a hint of alpine herb marks the close. KERIN O’KEEFE;89;Kornell 2018 Eich Pinot Bianco (Alto Adige);$15;Eich;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Kornell;KERIN O’KEEFE;13%;750 ml;White;Maritime Wine Trading Collective;8/1/2019;Northeastern Italy;Alto Adige
Made with organically grown Turbiana grapes, this racy white opens with delicate scents of spring blossom, almond and citrus. It's linear and vibrant, offering green melon, lemon zest and white almond alongside crisp acidity. KERIN O’KEEFE;89;Pasini San Giovanni 2018 Il Lugana (Lugana);$20;Il Lugana;Turbiana, Italian White;Lugana, Lombardy, Italy;Pasini San Giovanni;KERIN O’KEEFE;12.5%;750 ml;White;Coeur Wine Co;8/1/2019;Lombardy;Lugana
This fragrant white opens with aromas of citrus, wild herb and a whiff of flint. The racy palate offers grapefruit, pineapple and a smoky hint of mineral accompanied by firm acidity. KERIN O’KEEFE;89;Abbazia di Novacella 2018 Sauvignon (Alto Adige);$20;;Sauvignon, Sauvignon Blanc;Alto Adige, Northeastern Italy, Italy;Abbazia di Novacella;KERIN O’KEEFE;13.5%;750 ml;White;Abbazia di Novacella USA;8/1/2019;Northeastern Italy;Alto Adige
Here's an expressive Pinot Bianco that opens with aromas of ripe pear, Spanish broom and a note of alpine herb. Round and tangy, the palate doles out honeydew melon, yellow apple and a hint of pineapple. KERIN O’KEEFE;89;Andriano 2018 Finado Pinot Bianco (Alto Adige);$20;Finado;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Andriano;KERIN O’KEEFE;13.5%;750 ml;White;Banville Wine Merchants;8/1/2019;Northeastern Italy;Alto Adige
Subtle aromas of ripe orchard fruit, oak and white almond carry over to the rounded full-bodied palate along with hints of vanilla. Fresh acidity lifts the finish. KERIN O’KEEFE;89;Ca' Lojera 2016 Lugana Superiore;;;Turbiana, Italian White;Lugana Superiore, Lombardy, Italy;Ca' Lojera;KERIN O’KEEFE;14%;750 ml;White;Soilair Selection;8/1/2019;Lombardy;Lugana Superiore
Aromas of white stone fruit mingle with whiffs of spring field flower. The juicy palate doles out ripe Bartlett pear, yellow apple and green melon before an almond close. Bright acidity lifts the finish. KERIN O’KEEFE;89;Cantina Produttori San Michele Appiano 2018 Pinot Grigio (Alto Adige);$19;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Cantina Produttori San Michele Appiano;KERIN O’KEEFE;13.5%;750 ml;White;Winebow;8/1/2019;Northeastern Italy;Alto Adige
Fruity aromas of yellow peach and citrus lift out of the glass along with a hint of wild herb. Reflecting the nose, the vibrant savory palate offers apricot and grapefruit alongside crisp acidity. KERIN O’KEEFE;89;Monte del Frà 2018 Custoza;$15;;White Blend;Custoza, Veneto, Italy;Monte del Frà;KERIN O’KEEFE;12.5%;750 ml;White;Vision Wine & Spirits;8/1/2019;Veneto;Custoza
This savory white opens with aromas of peach blossom and ripe white stone fruit. The medium-bodied palate doles out creamy pear, honeydew melon and tangy acidity. KERIN O’KEEFE;89;Peter Zemmer 2018 Pinot Grigio (Alto Adige);$17;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Peter Zemmer;KERIN O’KEEFE;13.5%;750 ml;White;HB Wine Merchants;8/1/2019;Northeastern Italy;Alto Adige
Intense aromas evoking white rose and apricot leap out of the glass. The linear racy palate offers yellow peach and white grapefruit alongside vibrant acidity. KERIN O’KEEFE;89;Peter Zemmer 2018 Riesling (Alto Adige);$19;;Riesling;Alto Adige, Northeastern Italy, Italy;Peter Zemmer;KERIN O’KEEFE;13%;750 ml;White;HB Wine Merchants;8/1/2019;Northeastern Italy;Alto Adige
Made with indigenous yeasts, this vibrant white has aromas of toasted hazelnut, dried earth, cedar and yellow stone fruit. Reflecting the nose, the linear palate evokes bitter almond, ripe yellow apple and citrus zest alongside fresh acidity. KERIN O’KEEFE;89;Sansonina 2016 Lugana;$30;;Turbiana, Italian White;Lugana, Lombardy, Italy;Sansonina;KERIN O’KEEFE;13%;750 ml;White;LLS–Winebow;8/1/2019;Lombardy;Lugana
Linear and racy, this vibrant white has delicate scents of yellow stone fruit and white wildflower. The crisp palate offers yellow apple, citrus and a hint of saline alongside firm acidity. KERIN O’KEEFE;89;Tiefenbrunner 2018 Merus Pinot Bianco (Alto Adige);$28;Merus;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Tiefenbrunner;KERIN O’KEEFE;13.5%;750 ml;White;LLS–Winebow;8/1/2019;Northeastern Italy;Alto Adige
Aromas of toasted nut, oak, yellow spring flower and yellow stone fruit lead the nose. The linear palate offers yellow pear, honeydew melon and bitter almond before a mineral note marks the close. KERIN O’KEEFE;88;Colterenzio 2017 Berg Pinot Bianco (Alto Adige);$25;Berg;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Colterenzio;KERIN O’KEEFE;13.5%;750 ml;White;Ideal Wine and Spirits;8/1/2019;Northeastern Italy;Alto Adige
Made with organically grown grapes, this fresh white opens with scents of spring blossom and orchard fruit. The light-bodied, linear palate offers citrus and honeydew melon before a white-almond close. KERIN O’KEEFE;88;La Meridiana 2018 Lugana;;;Turbiana, Italian White;Lugana, Lombardy, Italy;La Meridiana;KERIN O’KEEFE;12.5%;750 ml;White;Vision Wine Brands;8/1/2019;Lombardy;Lugana
Aromas of French oak, coconut and citrus lead the nose. The oak sensations carry over to the rounded full-bodied palate along with mature yellow-apple skin, grapefruit and mineral notes. KERIN O’KEEFE;88;Peter Zemmer 2016 Giatl Riserva Pinot Grigio (Alto Adige);$35;Giatl Riserva;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Peter Zemmer;KERIN O’KEEFE;14.5%;750 ml;White;HB Wine Merchants;8/1/2019;Northeastern Italy;Alto Adige
Aromas of French oak, dried fennel and coconut mingle with whiffs of tropical fruit and celery. It's lean, linear and racy, showing cedar and dried herb alongside a hint of grapefruit. KERIN O’KEEFE;88;Pfitscher 2016 Mathias Sauvignon (Alto Adige);$58;Mathias;Sauvignon, Sauvignon Blanc;Alto Adige, Northeastern Italy, Italy;Pfitscher;KERIN O’KEEFE;13.5%;750 ml;White;Ethica Wines;8/1/2019;Northeastern Italy;Alto Adige
White stone-fruit and spring wildflower aromas come together on this. It's round and medium bodied, offering yellow pear, green melon and citrus alongside refreshing acidity. KERIN O’KEEFE;88;Girlan 2018 Pinot Bianco (Alto Adige);$23;;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Girlan;KERIN O’KEEFE;13.5%;750 ml;White;Montcalm Wine Importers;8/1/2019;Northeastern Italy;Alto Adige
Aromas evoking spring blossom, almond and citrus form the nose. Linear and crisp, the palate offers grapefruit and apricot before a juicy saline close. KERIN O’KEEFE;88;Cà Maiol 2018 Lugana;$16;;Turbiana, Italian White;Lugana, Lombardy, Italy;Cà Maiol;KERIN O’KEEFE;13%;750 ml;White;Santa Margherita USA;8/1/2019;Lombardy;Lugana
Delicate scents evoking ripe apple, hazelnut and honeysuckle come together on this. It's fresh and polished, offering creamy yellow pear, nectarine and lemon flavors. KERIN O’KEEFE;88;Cantina Tramin 2018 Pinot Grigio (Alto Adige);$19;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Cantina Tramin;KERIN O’KEEFE;13%;750 ml;White;LLS–Winebow;8/1/2019;Northeastern Italy;Alto Adige
Here's a full-bodied white that opens with aromas of mature yellow apple, beeswax and a whiff of chamomile. The aromas follow over to the soft ripe palate along with a honeyed note. KERIN O’KEEFE;88;Castel Sallegg 2017 Pinot Bianco (Alto Adige);$22;;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Castel Sallegg;KERIN O’KEEFE;14%;750 ml;White;Grape Expectations (CA);8/1/2019;Northeastern Italy;Alto Adige
Made partially in barriques and casks, this offers aromas of oak, tropical fruit and citrus blossom. The lean linear palate shows oak-driven spice that overrides grapefruit and dried pineapple. KERIN O’KEEFE;88;Colterenzio 2017 Lafoa Sauvignon (Alto Adige);$46;Lafoa;Sauvignon, Sauvignon Blanc;Alto Adige, Northeastern Italy, Italy;Colterenzio;KERIN O’KEEFE;14%;750 ml;White;Ideal Wine and Spirits;8/1/2019;Northeastern Italy;Alto Adige
Aromas of spring wildflower, mature yellow apple and Bartlett pear carry on to the round palate along with citrus notes and a hint of white almond. Fresh acidity gives it a tangy close. KERIN O’KEEFE;88;Colterenzio 2018 Cora Pinot Bianco (Alto Adige);$16;Cora;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Colterenzio;KERIN O’KEEFE;13.5%;750 ml;White;Ideal Wine and Spirits;8/1/2019;Northeastern Italy;Alto Adige
Delicately enticing aromas of spring blossom, apple and pear aromas waft out of the glass. The aromas carry on to the round polished palate along with lemon drop while fresh acidity keeps it bright. KERIN O’KEEFE;88;Delibori 2018 Lugana;$15;;Turbiana, Italian White;Lugana, Lombardy, Italy;Delibori;KERIN O’KEEFE;12%;750 ml;White;Grapes and Greens;8/1/2019;Lombardy;Lugana
Aromas of white stone fruit and spring wildflower waft out of the glass. It's vibrant and linear, offering yellow apple, white peach and a citrusy note before a tangy finish. KERIN O’KEEFE;88;Elena Walch 2018 Pinot Bianco (Alto Adige);$17;;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Elena Walch;KERIN O’KEEFE;13%;750 ml;White;USA Wine West;8/1/2019;Northeastern Italy;Alto Adige
Bright and medium bodied, this offers aromas of ripe white stone fruit. On the structured palate, fresh acidity accompanies ripe Bartlett pear and mature apple before a slightly nutty finish. KERIN O’KEEFE;88;Elena Walch 2018 Pinot Grigio (Alto Adige);$18;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Elena Walch;KERIN O’KEEFE;13%;750 ml;White;USA Wine West;8/1/2019;Northeastern Italy;Alto Adige
The nose is rather shy but eventually reveals scents of beeswax and pear. It's linear and understated, suggesting ripe yellow apple, nectarine and citrus alongside tangy acidity. KERIN O’KEEFE;88;Kellerei Kaltern Caldaro 2018 Pinot Bianco (Alto Adige);$23;;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Kellerei Kaltern Caldaro;KERIN O’KEEFE;13.5%;750 ml;White;Omniwines Distribution;8/1/2019;Northeastern Italy;Alto Adige
Aromas of spring blossom and white stone fruit set the tone. On the light-bodied, linear palate, tangy acidity lifts ripe yellow pear and Meyer lemon before a white-almond close. KERIN O’KEEFE;88;Tiefenbrunner 2018 Pinot Grigio (Vigneti delle Dolomiti);$19;;Pinot Grigio;Vigneti delle Dolomiti, Northeastern Italy, Italy;Tiefenbrunner;KERIN O’KEEFE;12.5%;750 ml;White;LLS–Winebow;8/1/2019;Northeastern Italy;Vigneti delle Dolomiti
Aromas evoking spring wildflower and ripe orchard fruit lead the nose. The rounded palate offers creamy yellow apple and a hint of grapefruit alongside soft acidity. KERIN O’KEEFE;88;Cantina Produttori Bolzano 2017 Dellago Pinot Bianco (Alto Adige);$25;Dellago;Pinot Bianco, Pinot Blanc;Alto Adige, Northeastern Italy, Italy;Cantina Produttori Bolzano;KERIN O’KEEFE;14%;750 ml;White;Matchvino;8/1/2019;Northeastern Italy;Alto Adige
Crisp and refreshing, this has aromas of ripe orchard fruit and spring wildflower. The bright palate evokes yellow pear and green melon before a tangy finish. KERIN O’KEEFE;88;Mezzacorona 2018 Vigneti Cliffhanger Pinot Grigio (Trentino);$14;Vigneti Cliffhanger;Pinot Grigio;Trentino, Northeastern Italy, Italy;Mezzacorona;KERIN O’KEEFE;13%;750 ml;White;Prestige Wine Imports Corp;8/1/2019;Northeastern Italy;Trentino
Fragrant wildflower and yellow stone-fruit aromas mingle with whiffs of wild herb. The fresh savory palate offers yellow peach, Meyer lemon and a hint of thyme alongside bright acidity. KERIN O’KEEFE;88;Ottosoldi 2018 Gavi;$20;;Cortese, Italian White;Gavi, Piedmont, Italy;Ottosoldi;KERIN O’KEEFE;13.5%;750 ml;White;Ethica Wines;8/1/2019;Piedmont;Gavi
Aromas of ripe stone fruit, citrus and spring blossom form the nose. On the rounded medium-bodied palate, fresh acidity accompanies green melon and Bartlett pear. KERIN O’KEEFE;88;Tolloy 2018 Pinot Grigio (Trentino);$20;;Pinot Grigio;Trentino, Northeastern Italy, Italy;Tolloy;KERIN O’KEEFE;13%;750 ml;White;Prestige Wine Imports Corp;8/1/2019;Northeastern Italy;Trentino
Lightly scented, this has subtle aromas of yellow stone fruit and a floral note. On the fresh palate, bright acidity underscores ripe peach and a citrusy note. It closes on a hint of almond. KERIN O’KEEFE;88;Avanzi 2018 Sirmione (Lugana);$19;Sirmione;Turbiana, Italian White;Lugana, Lombardy, Italy;Avanzi;KERIN O’KEEFE;13%;750 ml;White;The Harvest Importing;8/1/2019;Lombardy;Lugana
White stone fruit, spring field flower and a whiff of beeswax waft out of the glass. It's round and tangy, doling out white peach, green melon and a hint of tangerine. KERIN O’KEEFE;88;Bottega Vinaia 2018 Pinot Grigio (Trentino);$16;;Pinot Grigio;Trentino, Northeastern Italy, Italy;Bottega Vinaia;KERIN O’KEEFE;13%;750 ml;White;Palm Bay International;8/1/2019;Northeastern Italy;Trentino
Aromas of toasted nut and ripe apple follow over to the linear palate along with apricot and a hint of citrus. Tangy acidity brightens the flavors while bitter almond and saline notes signal the close. KERIN O’KEEFE;88;Ca' Lojera 2018 Lugana;$19;;Turbiana, Italian White;Lugana, Lombardy, Italy;Ca' Lojera;KERIN O’KEEFE;13%;750 ml;White;Soilair Selection;8/1/2019;Lombardy;Lugana
Spring blossom and pear aromas lead the nose on this bright medium-bodied white. The round savory palate offers creamy apple and an almond note alongside refreshing acidity. KERIN O’KEEFE;88;Cantina Produttori Bolzano 2018 Pinot Grigio (Alto Adige);$18;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Cantina Produttori Bolzano;KERIN O’KEEFE;13.5%;750 ml;White;Matchvino;8/1/2019;Northeastern Italy;Alto Adige
Subtle aromas of pineapple, citrus and orchard fruit waft out of the glass. On the rounded full-bodied palate, you'll find white grapefruit, yellow apple and a hint of saline. KERIN O’KEEFE;88;Cavalchina 2018 'L LAC (Lugana);$23;'L LAC;Turbiana, Italian White;Lugana, Lombardy, Italy;Cavalchina;KERIN O’KEEFE;14%;750 ml;White;de Grazia Imports LLC;8/1/2019;Lombardy;Lugana
Aromas of citrus blossom and green apple lead the way. It's fresh and linear, offering pear and papaya alongside bright acidity before a bitter almond close. KERIN O’KEEFE;88;Cesari 2018 Cento Filari (Lugana);$28;Cento Filari;Turbiana, Italian White;Lugana, Lombardy, Italy;Cesari;KERIN O’KEEFE;13%;750 ml;White;Opici Wines;8/1/2019;Lombardy;Lugana
You'll find aromas of mature orchard fruit and a whiff of hazelnut on this rounded white. Reflecting the nose, the medium-bodied palate offers ripe apple, pear and a hint of bitter almond on the close. KERIN O’KEEFE;88;Colterenzio 2018 Pinot Grigio (Alto Adige);$17;;Pinot Grigio;Alto Adige, Northeastern Italy, Italy;Colterenzio;KERIN O’KEEFE;13.5%;750 ml;White;Ideal Wine and Spirits;8/1/2019;Northeastern Italy;Alto Adige
Made with organically grown grapes, this fragrant white has aromas of honeysuckle and tropical fruit. The fresh savory palate doles out ripe yellow pear, green melon and pineapple while tangy acidity gives it a crisp close. KERIN O’KEEFE;88;Gorgo 2018 Custoza;$12;;White Blend;Custoza, Veneto, Italy;Gorgo;KERIN O’KEEFE;12.5%;750 ml;White;Ideal Wine and Spirits;8/1/2019;Veneto;Custoza
Partly fermented in oak barrels, this offers delicate aromas suggesting toasted hazelnut and white stone fruit. The elegant linear palate offers ripe Anjou pear and creamy peach before closing on a light almond note. KERIN O’KEEFE;88;Mezzacorona 2017 Castel Firmian Riserva Pinot Grigio (Trentino);$25;Castel Firmian Riserva;Pinot Grigio;Trentino, Northeastern Italy, Italy;Mezzacorona;KERIN O’KEEFE;13%;750 ml;White;Prestige Wine Imports Corp;8/1/2019;Northeastern Italy;Trentino
Fruity aromas of honeydew melon mingle with whiffs of fragrant spring flower. The fruity aroma carries over to the tangy palate along with white peach and citrus before an almond close. KERIN O’KEEFE;88;Zonin 2018 Lugana;$25;;Turbiana, Italian White;Lugana, Lombardy, Italy;Zonin;KERIN O’KEEFE;12.5%;750 ml;White;Zonin USA;8/1/2019;Lombardy;Lugana
This opens with aromas of French oak and tropical fruit. The palate is firm but doesn't have much fruit richness, offering oak-driven sensations of vanilla, coconut and butterscotch alongside citrus peel before a lean, rather astringent finish. KERIN O’KEEFE;87;Avanzi 2016 Borgheta Riserva (Lugana);$29;Borgheta Riserva;Turbiana, Italian White;Lugana, Lombardy, Italy;Avanzi;KERIN O’KEEFE;13.5%;750 ml;White;The Harvest Importing;8/1/2019;Lombardy;Lugana
Aromas of bread dough, toasted nut and mature citrus rind come together on this. The aromas carry over to the palate along with ripe apricot and almond. You'll also detect the warmth of alcohol. KERIN O’KEEFE;87;Nunzio Ghiraldi 2016 Sant'Onore (Lugana);$15;Sant'Onore;Turbiana, Italian White;Lugana, Lombardy, Italy;Nunzio Ghiraldi;KERIN O’KEEFE;14%;750 ml;White;1_No Submitting Co;8/1/2019;Lombardy;Lugana
Brimstone and bread dough aromas mingle with whiffs of hazelnut and mature yellow stone fruit. The ripe round palate offers ripe peach and yellow apple before a white-almond close. KERIN O’KEEFE;87;Nunzio Ghiraldi 2017 Il Gruccione (Lugana);;Il Gruccione;Turbiana, Italian White;Lugana, Lombardy, Italy;Nunzio Ghiraldi;KERIN O’KEEFE;14%;750 ml;White;1_No Submitting Co;8/1/2019;Lombardy;Lugana
This has subtle aromas evoking spring flower, crushed mint and a whiff of tropical fruit. It's tangy and straightforward, offering pineapple, papaya and citrus alongside fresh acidity before a bitter close. KERIN O’KEEFE;87;Villabella 2018 Lugana;$30;;Turbiana, Italian White;Lugana, Lombardy, Italy;Villabella;KERIN O’KEEFE;12.5%;750 ml;White;Lentino Imports;8/1/2019;Lombardy;Lugana
Aromas of citrus zest, thyme and pineapple follow over to the racy palate along with white grapefruit. It has a crisp refreshing close. KERIN O’KEEFE;87;Bulgarini 2018 Lugana;$15;;Turbiana, Italian White;Lugana, Lombardy, Italy;Bulgarini;KERIN O’KEEFE;12.5%;750 ml;White;Classic Wines, Inc;8/1/2019;Lombardy;Lugana
White spring flower, white stone-fruit and citrus aromas lead the way. Mirroring the nose, the rounded palate offers white peach, apple and a hint of grapefruit. It's fresh, with tangy acidity. KERIN O’KEEFE;87;Delibori 2018 Custoza;$12;;White Blend;Custoza, Veneto, Italy;Delibori;KERIN O’KEEFE;12%;750 ml;White;Grapes and Greens;8/1/2019;Veneto;Custoza
This opens with delicate aromas of spring wildflower and white stone fruit. The fresh, easy-drinking palate offers yellow apple, honeydew and a hint of citrus. KERIN O’KEEFE;87;Mezzacorona 2018 Pinot Grigio (Trentino);$11;;Pinot Grigio;Trentino, Northeastern Italy, Italy;Mezzacorona;KERIN O’KEEFE;12.5%;750 ml;White;Prestige Wine Imports Corp;8/1/2019;Northeastern Italy;Trentino
White spring flower and banana aromas lead the nose. On the fresh straightforward palate, bright acidity lifts honeydew melon and pineapple. KERIN O’KEEFE;87;Domìni Veneti 2018 Lugana;$10;;Turbiana, Italian White;Lugana, Lombardy, Italy;Domìni Veneti;KERIN O’KEEFE;13%;750 ml;White;Siena Imports;8/1/2019;Lombardy;Lugana
Beeswax, yellow spring flower, hazelnut and citrus-rind aromas lead the way. The rounded palate offers dried pineapple and mature yellow apple before a bitter almond close. KERIN O’KEEFE;87;Menegotti 2016 Elianto (Custoza Superiore);$16;Elianto;White Blend;Custoza Superiore, Veneto, Italy;Menegotti;KERIN O’KEEFE;14%;750 ml;White;Southport Wines;8/1/2019;Veneto;Custoza Superiore
This opens with aromas of honey suckle and exotic fruit. The fruity aromas carry on to the short, simple palate along with yellow apple and a candied note. KERIN O’KEEFE;86;Casata Monfort 2018 Pinot Grigio (Trentino);;;Pinot Grigio;Trentino, Northeastern Italy, Italy;Casata Monfort;KERIN O’KEEFE;13%;750 ml;White;Tricana Imports;8/1/2019;Northeastern Italy;Trentino
Beeswax and orchard-fruit aromas lead the nose. On the tangy palate, fresh acidity lifts mature apple and chamomile. It's simple but well made. KERIN O’KEEFE;86;Cembra 2018 Pinot Grigio (Trentino);$14;;Pinot Grigio;Trentino, Northeastern Italy, Italy;Cembra;KERIN O’KEEFE;12.5%;750 ml;White;Ethica Wines;8/1/2019;Northeastern Italy;Trentino
This simple, copper-colored Pinot Grigio has aromas and flavors of mature orchard fruit and tangy citrus. It closes on a the merest hint of baking spice. KERIN O’KEEFE;86;Casata Monfort 2018 Pinot Grigio (Vigneti delle Dolomiti);$20;;Pinot Grigio;Vigneti delle Dolomiti, Northeastern Italy, Italy;Casata Monfort;KERIN O’KEEFE;13%;750 ml;White;Tricana Imports;8/1/2019;Northeastern Italy;Vigneti delle Dolomiti
Here's a fresh light-bodied white that opens with delicate aromas of green melon, white spring flower and a whiff of nut. It's simple but well made, offering honeydew melon and citrus alongside crisp acidity. KERIN O’KEEFE;86;Tommasi 2018 La Fornace (Lugana);$20;La Fornace;Turbiana, Italian White;Lugana, Lombardy, Italy;Tommasi;KERIN O’KEEFE;12.5%;750 ml;White;Vintus LLC;8/1/2019;Lombardy;Lugana
Fresh and light bodied, this easygoing wine has flavors suggesting honeydew melon and pear. It's simple but well made. KERIN O’KEEFE;86;Albino Armani 2018 Pinot Grigio (Valdadige);;;Pinot Grigio;Valdadige, Veneto, Italy;Albino Armani;KERIN O’KEEFE;12.5%;750 ml;White;Saranty Imports;8/1/2019;Veneto;Valdadige
Banana and papaya aromas follow over to the rather lean, simple palate alongside tangy acidity. It closes on a hint of white almond. KERIN O’KEEFE;86;Franzosi 2018 Lugana;;;Turbiana, Italian White;Lugana, Lombardy, Italy;Franzosi;KERIN O’KEEFE;13%;750 ml;White;1_No Submitting Co;8/1/2019;Lombardy;Lugana
This has aromas of toasted nut and citrus rind that carry over to the simple palate along with a hint of thyme. It closes on a note of bitter almond. KERIN O’KEEFE;86;Santa Sofia 2017 Lugana;;;Turbiana, Italian White;Lugana, Lombardy, Italy;Santa Sofia;KERIN O’KEEFE;13%;750 ml;White;1_Not Imported into US;8/1/2019;Lombardy;Lugana
This has aromas of cedar, French oak, mature citrus rind and walnut. The flavors carry over to the brawny monolithic palate along with orange liqueur and the heat of evident alcohol. KERIN O’KEEFE;86;Bulgarini 2016 Cà Vaibo (Lugana);$30;Cà Vaibo;Turbiana, Italian White;Lugana, Lombardy, Italy;Bulgarini;KERIN O’KEEFE;14.5%;750 ml;White;Classic Wines, Inc;8/1/2019;Lombardy;Lugana
Aromas of green apple and banana carry over the bright refreshing palate. It's simple but well made. KERIN O’KEEFE;86;Giovanna Tantini 2018 Custoza;$13;;White Blend;Custoza, Veneto, Italy;Giovanna Tantini;KERIN O’KEEFE;12.5%;750 ml;White;Ethica Wines;8/1/2019;Veneto;Custoza
This has a subdued nose that slowly reveals whiffs of toasted walnut and citrus rind. The palate is lean, offering hints of orange peel, dried apricot and a bitter finish. KERIN O’KEEFE;85;Borgo La Caccia 2017 Lugana Superiore;$30;;Turbiana, Italian White;Lugana Superiore, Lombardy, Italy;Borgo La Caccia;KERIN O’KEEFE;13.5%;750 ml;White;Noble Harvest, LLC;8/1/2019;Lombardy;Lugana Superiore
